WellPosition,SampleId,Concentration,Description,,,1,2,3,4,5,6,7,8,9,10,11,12,
B10,R4_V1_D10,155.5,S70,,,A,FS_1,R1_V3_D17,R1_V3_D27,R2_V3_D6,R2_V3_D19,R2_V3_D29,R3_V3_D6,R3_V3_D19,R3_V3_D29,R4_V3_D6,R4_V3_D19,R4_V3_D29
D10,R4_V1_D14,3.36,S72,,,B,R1_V1_D6,R1_V1_D19,R1_V1_D29,R2_V1_D10,R2_V1_D22,R2_V1_D31,R3_V1_D10,R3_V1_D22,R3_V1_D31,R4_V1_D10,R4_V1_D22,R4_V1_D31
F10,R4_V1_D17,77,S74,,,C,R1_V3_D6,R1_V3_D19,R1_V3_D29,R2_V3_D10,R2_V3_D22,R2_V3_D31,R3_V3_D10,R3_V3_D22,R3_V3_D31,R4_V3_D10,R4_V3_D22,R4_V3_D31
H10,R4_V1_D19,80.85,S76,,,D,R1_V1_D10,R1_V1_D22,R1_V1_D31,R2_V1_D14,R2_V1_D24,R2_V1_D34,R3_V1_D14,R3_V1_D24,R3_V1_D34,R4_V1_D14,R4_V1_D24,R4_V1_D34
B11,R4_V1_D22,123,S78,,,E,R1_V3_D10,R1_V3_D22,R1_V3_D31,R2_V3_D14,R2_V3_D24,R2_V3_D34,R3_V3_D14,R3_V3_D24,R3_V3_D34,R4_V3_D14,R4_V3_D24,R4_V3_D34
D11,R4_V1_D24,141,S80,,,F,R1_V1_D14,R1_V1_D24,R1_V1_D34,R2_V1_D17,R2_V1_D27,R3_V1_D6,R3_V1_D17,R3_V1_D27,R4_V1_D6,R4_V1_D17,R4_V1_D27,
F11,R4_V1_D27,30.6,S82,,,G,R1_V3_D14,R1_V3_D24,R1_V3_D34,R2_V3_D17,R2_V3_D27,,R3_V3_D17,R3_V3_D27,,R4_V3_D17,R4_V3_D27,
H11,R4_V1_D29,47.35,S84,,,H,R1_V1_D17,R1_V1_D27,R2_V1_D6,R2_V1_D19,R2_V1_D29,,R3_V1_D19,R3_V1_D29,,R4_V1_D19,R4_V1_D29,
B12,R4_V1_D31,245,S86,,,,,,,,,,,,,,,
D12,R4_V1_D34,221,S88,,,,,,,,,,,,,,,
F9,R4_V1_D6,101.3,S68,,,,,,,,,,,,,,,
C10,R4_V3_D10,4.825,S71,,,,,,,,,,,,,,,
E10,R4_V3_D14,24.95,S73,,,,,,,,,,,,,,,
G10,R4_V3_D17,14.8,S75,,,,,,,,,,,,,,,
A11,R4_V3_D19,89.75,S77,,,,,,,,,,,,,,,
C11,R4_V3_D22,36.15,S79,,,,,,,,,,,,,,,
E11,R4_V3_D24,42.8,S81,,,,,,,,,,,,,,,
G11,R4_V3_D27,70.65,S83,,,,,,,,,,,,,,,
A12,R4_V3_D29,172,S85,,,,,,,,,,,,,,,
C12,R4_V3_D31,213,S87,,,,,,,,,,,,,,,
E12,R4_V3_D34,115,S89,,,,,,,,,,,,,,,
A10,R4_V3_D6,141,S69,,,,,,,,,,,,,,,
